,class,red,green,blue,lst,vod,ndbal,msr_re,cl_re,ndvi_re,evi,ndvi,lon,lat
122,0,110.0,97.0,85.0,28446.0,339.0,0.8685024,0.22407566,0.5775709,0.22407566,-50.673756,0.26655474,29.7188736565256,-2.1056247011525833
123,0,92.0,79.0,73.0,28446.0,339.0,0.91808385,0.22012798,0.56452334,0.22012796,-51.0219,0.26437217,29.718938379199972,-2.1052348187079297
124,0,89.0,82.0,76.0,28446.0,339.0,0.89420366,0.20679118,0.52140415,0.20679118,31.806168,0.26642066,29.718951523328503,-2.10538599581283
125,0,92.0,84.0,78.0,28446.0,339.0,0.91808385,0.22012798,0.56452334,0.22012796,31.806168,0.26642066,29.718960837680363,-2.1053545615509517
126,0,90.0,77.0,72.0,28446.0,339.0,0.91808385,0.22012798,0.56452334,0.22012796,-51.0219,0.26437217,29.718954785791663,-2.1052414664219437
127,0,89.0,77.0,68.0,28446.0,339.0,0.91808385,0.22012798,0.56452334,0.22012796,-51.0219,0.26437217,29.718912227330517,-2.105236435232278
128,0,93.0,83.0,76.0,28446.0,339.0,0.7697351,0.2531234,0.67781854,0.2531234,-30.239851,0.30123138,29.718758597040484,-2.1062009392528958
129,0,87.0,80.0,70.0,28446.0,339.0,0.7697351,0.2531234,0.67781854,0.2531234,-30.239851,0.30123138,29.718788403112082,-2.10621437007222
130,0,103.0,90.0,79.0,28446.0,339.0,0.7697351,0.2531234,0.67781854,0.2531234,-5.912073,0.33544305,29.71879877713149,-2.1061858872208385
131,0,72.0,59.0,55.0,28446.0,339.0,0.7697351,0.2531234,0.67781854,0.2531234,-30.239851,0.30123138,29.718768921682443,-2.106143991850984
132,0,69.0,54.0,44.0,28446.0,339.0,0.7697351,0.2531234,0.67781854,0.2531234,-30.239851,0.30123138,29.71879123530286,-2.1061304695193876
133,0,95.0,84.0,75.0,28446.0,339.0,0.8266966,0.23776466,0.62386155,0.23776467,-5.6004143,0.31050315,29.718292270581305,-2.10606992122698
134,0,110.0,98.0,91.0,28446.0,339.0,0.7898531,0.26339754,0.71516883,0.26339754,-5.6004143,0.31050315,29.718305742767082,-2.1061103470550755
135,0,68.0,56.0,47.0,28446.0,339.0,0.8446226,0.2500432,0.6668203,0.2500432,-5.6004143,0.31050315,29.718275746732054,-2.106095635109542
136,0,99.0,90.0,79.0,28446.0,339.0,0.77990174,0.26363006,0.7160262,0.2636301,-5.6004143,0.31050315,29.71832137457288,-2.106056626458081
137,0,85.0,87.0,86.0,28446.0,339.0,1.0209109,0.17720453,0.43073773,0.17720452,50.90909,0.23280424,29.71820932183404,-2.106840173068846
138,0,103.0,89.0,83.0,28446.0,339.0,0.82125336,0.24238323,0.63985705,0.24238321,-7.8222456,0.28167695,29.718909107209026,-2.1069837253117547
139,0,97.0,88.0,81.0,28446.0,339.0,0.82125336,0.24238323,0.63985705,0.24238321,-7.8222456,0.28167695,29.718935820091815,-2.1069999774587753
140,0,98.0,79.0,74.0,28446.0,339.0,0.82125336,0.24238323,0.63985705,0.24238321,-7.7986345,0.33864394,29.718919715599615,-2.1070556174243373
141,0,98.0,87.0,76.0,28446.0,339.0,0.82125336,0.24238323,0.63985705,0.24238321,-7.7986345,0.33864394,29.718891173918824,-2.1070844313186257
142,0,105.0,90.0,79.0,28446.0,339.0,0.82125336,0.24238323,0.63985705,0.24238321,-14.842023,0.33947605,29.718867312638693,-2.1070643388747636
143,0,90.0,77.0,65.0,28446.0,339.0,0.82125336,0.24238323,0.63985705,0.24238321,-7.8222456,0.28167695,29.718895423022815,-2.107026132716601
144,0,117.0,99.0,83.0,28446.0,339.0,0.76893264,0.24869695,0.66204166,0.24869695,-7.112903,0.32885906,29.71812670667835,-2.1093466551935154
145,0,116.0,98.0,84.0,28446.0,339.0,0.826113,0.23985922,0.6310916,0.23985924,-7.112903,0.32885906,29.718172888347052,-2.1093570614085784
146,0,117.0,99.0,84.0,28446.0,339.0,0.826113,0.23985922,0.6310916,0.23985924,-4.817518,0.32898772,29.718286104631666,-2.1093808320213348
147,0,97.0,85.0,80.0,28446.0,339.0,0.86951333,0.20445964,0.5140145,0.20445962,-3.9685977,0.29156724,29.7181600353997,-2.109673191817762
148,0,104.0,90.0,83.0,28446.0,339.0,0.86951333,0.20445964,0.5140145,0.20445962,-8.88102,0.24133949,29.718162945470105,-2.1096342355499584
149,0,89.0,81.0,71.0,28446.0,339.0,0.86951333,0.20445964,0.5140145,0.20445962,-6.10046,0.3043811,29.718195748509395,-2.1096581484363846
150,0,107.0,95.0,84.0,28446.0,339.0,0.8295909,0.21192919,0.537843,0.21192917,-8.88102,0.24133949,29.718128693050115,-2.109632797445499
